recipe_name,ingredient_name,quantity,unit,is_staple,instructions,servings
Vegetarian Stir Fry,Soy Sauce,3,tbsp,true,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Vegetarian Stir Fry,Sesame Oil,1,tsp,true,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Vegetarian Stir Fry,Garlic,3,cloves,false,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Vegetarian Stir Fry,Ginger,1,tbsp,false,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Vegetarian Stir Fry,Broccoli,300,g,false,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Vegetarian Stir Fry,Carrots,200,g,false,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Vegetarian Stir Fry,Vegetable Oil,2,tbsp,true,"Heat oil in a wok. Add garlic and ginger, stir for 30 seconds. Add broccoli and carrots, stir fry for 5 minutes. Add soy sauce and sesame oil, toss well. Serve over rice.",2
Pasta Marinara,Pasta,200,g,true,"Cook pasta according to package. Heat olive oil, add garlic and cook 1 min. Add crushed tomatoes, oregano, salt, pepper. Simmer 15 minutes. Toss with pasta and top with basil.",2
Pasta Marinara,Olive Oil,3,tbsp,true,"Cook pasta according to package. Heat olive oil, add garlic and cook 1 min. Add crushed tomatoes, oregano, salt, pepper. Simmer 15 minutes. Toss with pasta and top with basil.",2
Pasta Marinara,Garlic,4,cloves,false,"Cook pasta according to package. Heat olive oil, add garlic and cook 1 min. Add crushed tomatoes, oregano, salt, pepper. Simmer 15 minutes. Toss with pasta and top with basil.",2
Pasta Marinara,Crushed Tomatoes,400,g,true,"Cook pasta according to package. Heat olive oil, add garlic and cook 1 min. Add crushed tomatoes, oregano, salt, pepper. Simmer 15 minutes. Toss with pasta and top with basil.",2
Pasta Marinara,Dried Oregano,1,tsp,true,"Cook pasta according to package. Heat olive oil, add garlic and cook 1 min. Add crushed tomatoes, oregano, salt, pepper. Simmer 15 minutes. Toss with pasta and top with basil.",2
Pasta Marinara,Fresh Basil,10,leaves,false,"Cook pasta according to package. Heat olive oil, add garlic and cook 1 min. Add crushed tomatoes, oregano, salt, pepper. Simmer 15 minutes. Toss with pasta and top with basil.",2
Chickpea Curry,Chickpeas,400,g,true,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Coconut Milk,400,ml,true,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Curry Powder,2,tbsp,true,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Onion,1,whole,false,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Garlic,3,cloves,false,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Ginger,1,tbsp,false,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Tomatoes,200,g,false,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Spinach,200,g,false,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2
Chickpea Curry,Vegetable Oil,2,tbsp,true,"Heat oil, add onion and cook until soft. Add garlic, ginger, curry powder, cook 2 min. Add tomatoes and coconut milk, simmer 10 min. Add chickpeas and spinach, cook until spinach wilts. Serve with rice.",2

